localityName,x,y,latitude,longitude,zone,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,strike,declination,rockUnit,timedate,notes,dec_corrected,strike_corr,dipAzimuth_corr,measurer
 Locality 1,681962.9437,5138138.323,46.37233824,-90.63408771, 15T,4,5,-1, Flow banding,53.4441452,343.8571777,253.8571777,-2.12169719, Kallander Creek basalts, Wed Aug  3 11:05:07 2016, ,yes,,,LF
 Locality 1,681963.8088,5138139.817,46.37235145,-90.63407589, 15T,4,5,-1, Flow banding,54.3780632,351.7736816,261.7736816,-2.12169719, Kallander Creek basalts, Wed Aug  3 11:05:02 2016, ,yes,,,LF
 Locality 1,681963.881,5138141.93,46.37237043,-90.63407413, 15T,4,5,-1, Flow banding,58.00748825,338.4713745,248.4713745,-2.12169719, Kallander Creek basalts, Wed Aug  3 11:04:54 2016, ,yes,,,LF
 Locality 1,681962.4972,5138142.681,46.37237756,-90.63409181, 15T,3,5,-1, Flow banding,55.55392838,315.4606628,225.4606628,-2.12169719, Kallander Creek basalts, Wed Aug  3 11:04:46 2016, ,yes,,,LF
 Locality 1,681962.4972,5138142.681,46.37237756,-90.63409181, 15T,3,5,-1, Flow banding,59.59695053,355.160614,265.160614,-2.12169719, Kallander Creek basalts, Wed Aug  3 11:04:40 2016, ,yes,,,LF
 Locality 1,681962.4972,5138142.681,46.37237756,-90.63409181, 15T,3,5,-1, Flow banding,59.50971603,334.5426636,244.5426636,-2.12169719, Kallander Creek basalts, Wed Aug  3 11:04:35 2016, ,yes,,,LF
 Locality 1,681766.3094,5138458.779,46.37527267,-90.63651779, 15T,6,10,-1, Bedding,68.01768494,337.2093506,247.2093506,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:10:43 2016, ,yes,,,LF
 Locality 1,681766.3094,5138458.779,46.37527267,-90.63651779, 15T,6,10,-1, Bedding,78.55313873,309.0515747,219.0515747,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:10:32 2016, ,yes,,,LF
 Locality 1,681766.3094,5138458.779,46.37527267,-90.63651779, 15T,6,10,-1, Bedding,65.31395721,335.4668274,245.4668274,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:10:07 2016, ,yes,,,LF
 Locality 1,681767.3061,5138459.755,46.37528117,-90.63650446, 15T,12,10,-1, Bedding,63.37278366,322.0531921,232.0531921,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:09:57 2016, ,yes,,,LF
 Locality 1,681767.3061,5138459.755,46.37528117,-90.63650446, 15T,12,10,-1, Bedding,73.29456329,325.8865356,235.8865356,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:09:44 2016, ,yes,,,LF
 Locality 1,681767.3061,5138459.755,46.37528117,-90.63650446, 15T,12,10,-1, Bedding,72.61290741,323.1796875,233.1796875,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:09:11 2016, ,yes,,,LF
 Locality 1,681766.7303,5138460.456,46.37528763,-90.63651167, 15T,12,10,-1, Bedding,69.24359894,326.5115051,236.5115051,-2.12169719, Kallander Creek interflow sandstone, Mon Aug  1 12:09:00 2016, ,yes,,,LF
 Locality 1,681495.1841,5138557.485,46.37623302,-90.64000189, 15T,12,5,-1, Fault,87.6996994,278.4966126,188.4966126,-2.12169719, Nonesuch shale , Wed Jul 20 17:35:42 2016, ,yes,,,LF
 Locality 1,681500.2128,5138558.469,46.37624052,-90.63993618, 15T,12,5,-1, Fault,89,286.6697998,196.6697998,-2.12169719, Nonesuch shale , Wed Jul 20 17:27:20 2016, ,yes,,,LF
 Locality 1,681507.6656,5138559.078,46.376244,-90.63983912, 15T,4,5,-1, Fault,84.72885132,302.5185547,212.5185547,-2.12169719, Nonesuch shale , Wed Jul 20 17:25:10 2016, Contact bedding CHC,yes,,,LF
 Locality 1,681507.934,5138558.732,46.37624082,-90.63983576, 15T,8,5,-1, Fault,88.95295715,301.4017944,211.4017944,-2.12169719, Nonesuch shale , Wed Jul 20 17:24:21 2016, ,yes,,,LF
 Locality 1,681512.0888,5138560.03,46.37625138,-90.63978128, 15T,16,10,-1, Fault,89,280.3822632,190.3822632,-2.12169719, Nonesuch shale , Wed Jul 20 17:22:28 2016, ,yes,,,LF
 Locality 1,681562.3572,5138527.917,46.37594913,-90.63914065, 15T,12,5,-1, Fault,71.76864624,355.3209534,265.3209534,-2.12169719, Copper Harbor conglomerate , Wed Jul 20 17:10:52 2016, ,yes,,,LF
 Locality 1,681618.2531,5138499.012,46.3756742,-90.63842568, 15T,12,5,-1, Bedding,89,132.4062805,42.40628052,-2.12169719, Siltstone above Kallander Creek rhyolite, Wed Jul 20 16:58:54 2016, ,yes,,,LF
 Locality 1,681618.2531,5138499.012,46.3756742,-90.63842568, 15T,12,5,-1, Bedding,81.74743652,130.0712433,40.07124329,-2.12169719, Siltstone above Kallander Creek rhyolite, Wed Jul 20 16:57:54 2016, ,yes,,,LF
 Locality 1,681618.2531,5138499.012,46.3756742,-90.63842568, 15T,12,5,-1, Bedding,85.81188202,309.5050049,219.5050049,-2.12169719, Siltstone above Kallander Creek rhyolite, Wed Jul 20 16:57:30 2016, ,yes,,,LF
 Locality 1,681750.2504,5138435.69,46.37506936,-90.63673538, 15T,12,5,-1, Joint,68.99562836,309.8156738,219.8156738,-2.12169719, Kallander Creek rhyolite, Wed Jul 20 16:10:21 2016, ,yes,,,LF
 Locality 1,681750.2504,5138435.69,46.37506936,-90.63673538, 15T,12,5,-1, Joint,67.41461182,326.014801,236.014801,-2.12169719, Kallander Creek rhyolite, Wed Jul 20 16:10:03 2016, Base of flow,yes,,,LF
 Locality 1,681750.2504,5138435.69,46.37506936,-90.63673538, 15T,12,5,-1, Joint,71.00362396,308.8482361,218.8482361,-2.12169719, Kallander Creek rhyolite, Wed Jul 20 16:09:25 2016, Base of flow,yes,,,LF
 Locality 1,681750.2504,5138435.69,46.37506936,-90.63673538, 15T,12,5,-1, Joint,71.8698349,314.7998352,224.7998352,-2.12169719, Kallander Creek rhyolite, Wed Jul 20 16:09:09 2016, Base of flow,yes,,,LF
 Locality 1,681750.2504,5138435.69,46.37506936,-90.63673538, 15T,12,5,-1, Bedding,76.31938171,295.7791748,205.7791748,-2.12169719, Kallander Creek interflow sandstone, Wed Jul 20 15:42:46 2016, ,yes,,,LF
 Locality 1,681805.4866,5138387.466,46.37462089,-90.6360365, 15T,12,10,-1, Bedding,53.94830704,342.9484863,252.9484863,-2.12169719, Kallander Creek interflow sandstone, Wed Jul 20 14:06:46 2016, ,yes,,,LF
 Locality 1,681803.022,5138388.33,46.37462931,-90.63606818, 15T,8,5,-1, Bedding,59.5804863,355.9339905,265.9339905,-2.12169719, Kallander Creek interflow sandstone, Wed Jul 20 14:06:08 2016, ,yes,,,LF
 Locality 1,681800.6976,5138390.548,46.37464989,-90.63609752, 15T,8,5,-1, Bedding,65.31364441,347.3562622,257.3562622,-2.12169719, Kallander Creek interflow sandstone, Wed Jul 20 14:05:51 2016, ,yes,,,LF
 Locality 1,681800.6976,5138390.548,46.37464989,-90.63609752, 15T,8,5,-1, Bedding,61.48574448,1.24797249,271.2479858,-2.12169719, Kallander Creek interflow sandstone, Wed Jul 20 14:05:37 2016, ,yes,,,LF
 Locality 1,681968.4743,5138141.737,46.37236746,-90.63401453, 15T,6,10,-1, Joint,52.46390533,324.5584106,234.5584106,-2.12169719, Kallander Creek basalts, Wed Jul 20 10:39:41 2016, ,yes,,,LF
 Locality 1,681964.9005,5138141.928,46.37237014,-90.63406088, 15T,8,5,-1, Flowtop ,52.90697479,325.9353638,235.9353638,-2.12169719, Kallander Creek basalts, Wed Jul 20 10:38:02 2016, ,yes,,,LF
 Locality 1,681964.4865,5138138.514,46.37233954,-90.63406759, 15T,8,5,-1, Flowtop ,58.3898735,331.1143799,241.1143799,-2.12169719, Kallander Creek basalts, Wed Jul 20 10:37:36 2016, ,yes,,,LF
 Locality 1,681960.391,5138140.4,46.37235761,-90.63412006, 15T,12,10,-1, Flowtop ,61.97845459,335.2390442,245.2390442,-2.12169719, Kallander Creek basalts, Wed Jul 20 10:37:06 2016, ,yes,,,LF
 Locality 1,681975.6692,5138128.767,46.37224889,-90.6339261, 15T,4,5,-1, Fault,53.90070343,335.3291626,245.3291626,-2.12169719, Kallander Creek basalts, Wed Jul 20 10:26:58 2016, ,yes,,,LF
 Locality 1,681976.214,5138128.89,46.37224986,-90.63391898, 15T,3,5,-1, Flowtop ,53.26768112,348.692627,258.692627,-2.12169719, Kallander Creek basalts, Wed Jul 20 10:26:27 2016, ,yes,,,LF
 Locality 1,681976.9302,5138128.674,46.37224772,-90.63390976, 15T,3,5,-1, Flowtop ,64.4098587,342.1343384,252.1343384,-2.12169719, Kallander Creek basalts, Wed Jul 20 10:26:10 2016, ,yes,,,LF
 Locality 1,681976.2551,5138130.318,46.37226268,-90.63391789, 15T,4,5,-1, Flowtop ,57.06835175,324.1578064,234.1578064,-2.12169719, Kallander Creek basalts, Wed Jul 20 10:25:27 2016, ,yes,,,LF
 Locality 1,681976.2551,5138130.318,46.37226268,-90.63391789, 15T,4,5,-1, Flowtop ,54.49819183,35.77187729,305.7718811,-2.12169719, Kallander Creek basalts, Wed Jul 20 10:25:07 2016, ,yes,,,LF
 Locality 1,681975.3383,5138129.26,46.37225342,-90.63393021, 15T,6,5,-1, Flowtop ,69.11495209,346.8522034,256.8522034,-2.12169719, Kallander Creek basalts, Wed Jul 20 10:24:47 2016, ,yes,,,LF
 Locality 1,682112.2765,5138102.392,46.37197497,-90.63216171, 15T,6,5,-1, Joint,51.98582458,347.7761536,257.7761536,-2.12169719, Kallander Creek basalts, Tue Jul 19 17:06:49 2016, ,yes,,,LF
 Locality 1,682126.8926,5138054.26,46.37153823,-90.63199055, 15T,4,5,-1, Flowtop ,53.06452179,321.8761597,231.8761597,-2.12169719, Kallander Creek basalts, Tue Jul 19 16:38:39 2016, ,yes,,,LF
 Locality 1,682127.6065,5138051.965,46.3715174,-90.63198217, 15T,3,5,-1, Flowtop ,60.33424759,331.7310181,241.7310181,-2.12169719, Kallander Creek basalts, Tue Jul 19 16:37:47 2016, ,yes,,,LF
 Locality 1,682127.6065,5138051.965,46.3715174,-90.63198217, 15T,3,5,-1, Flowtop ,54.10206985,327.346344,237.346344,-2.12169719, Kallander Creek basalts, Tue Jul 19 16:37:27 2016, ,yes,,,LF
 Locality 1,682127.6065,5138051.965,46.3715174,-90.63198217, 15T,3,5,-1, Flow banding,53.06698227,324.6063232,234.6063232,-2.12169719, Kallander Creek basalts, Tue Jul 19 16:36:12 2016, ,yes,,,LF
 Locality 1,682127.6656,5138060.337,46.37159267,-90.63197815, 15T,6,5,-1, Flow banding,56.03026962,327.4897766,237.4897766,-2.12169719, Kallander Creek basalts, Tue Jul 19 16:33:48 2016, ,yes,,,LF
 Locality 1,682130.2668,5138061.17,46.37159946,-90.63194403, 15T,6,5,-1, Flow banding,51.93795395,305.6505737,215.6505737,-2.12169719, Kallander Creek basalts, Tue Jul 19 16:32:33 2016, ,yes,,,LF
 Locality 1,682129.1089,5138057.388,46.37156577,-90.63196055, 15T,8,5,-1, Flow banding,54.10569382,313.8475342,223.8475342,-2.12169719, Kallander Creek basalts, Tue Jul 19 16:31:46 2016, ,yes,,,LF
 Locality 1,682128.0913,5138054.953,46.37154414,-90.63197471, 15T,4,5,-1, Flow banding,45.90013885,327.2156677,237.2156677,-2.12169719, Kallander Creek basalts, Tue Jul 19 16:21:26 2016, ,yes,,,LF
 Locality 1,682128.614,5138054.307,46.37153819,-90.63196817, 15T,8,5,-1, Flow banding,46.82982254,337.8963013,247.8963013,-2.12169719, Kallander Creek basalts, Tue Jul 19 16:21:08 2016, ,yes,,,LF
 Locality 1,682128.8561,5138052.468,46.3715216,-90.63196574, 15T,6,5,-1, Flow banding,60.19171143,337.9623718,247.9623718,-2.12169719, Kallander Creek basalts, Tue Jul 19 16:20:47 2016, ,yes,,,LF
 Locality 1,682698.7224,5138079.485,46.37161091,-90.62455229, 15T,4,10,-1, Flow banding,43.15011597,337.7840576,247.7840576,-2.02426147, Kallander Creek Volcanics, Sat Aug  6 09:56:16 2016, ,yes,,,NSH
 Locality 1,681495.4572,5138551.788,46.37618172,-90.64000055, 15T,12,10,-1, Bedding,85.58333588,286.3233032,196.3233032,-2.02426147, Nonesuch, Sat Aug  6 09:06:05 2016, Finely laminated grey siltstone. ,yes,,,NSH
 Locality 1,681464.8069,5138550.44,46.37617783,-90.64039928, 15T,12,10,-1, Bedding,86.51017761,298.6841126,208.6841126,-2.02426147, Nonesuch, Sat Aug  6 09:02:36 2016, ,yes,,,NSH
 Locality 1,681469.3628,5138551.704,46.37618797,-90.6403396, 15T,12,10,-1, Bedding,82.51895905,295.1686096,205.1686096,-2.02426147, Nonesuch, Sat Aug  6 09:02:21 2016, ,yes,,,NSH
 Locality 1,681466.0301,5138546.203,46.3761394,-90.64038503, 15T,12,10,-1, Bedding,84.62483215,290.0900879,200.0900879,-2.02426147, Nonesuch, Sat Aug  6 09:01:54 2016, ,yes,,,NSH
 Locality 1,681477.9187,5138564.646,46.37630205,-90.64022343, 15T,8,10,-1, Bedding,84.50621033,289.5730286,199.5730286,-2.02426147, Freda, Sat Aug  6 08:59:45 2016, ,yes,,,NSH
 Locality 1,681477.9187,5138564.646,46.37630205,-90.64022343, 15T,8,10,-1, Bedding,83.82441711,301.2228394,211.2228394,-2.02426147, Freda, Sat Aug  6 08:59:32 2016, ,yes,,,NSH
 Locality 1,681484.5176,5138542.192,46.37609837,-90.6401464, 15T,12,10,-1, Bedding,85.15699005,295.7246094,205.7246094,-2.02426147, Freda, Sat Aug  6 08:59:19 2016, ,yes,,,NSH
 Locality 1,681451.3268,5138554.638,46.37621919,-90.64057278, 15T,12,10,-1, Fault,53.34289551,34.27581406,304.2758179,-2.02426147, Freda, Sat Aug  6 08:57:56 2016, ,yes,,,NSH
 Locality 1,681445.6212,5138541.954,46.37610666,-90.64065183, 15T,6,10,-1, Bedding,80.38227081,297.0783081,207.0783081,-2.02426147, Freda, Sat Aug  6 08:56:17 2016, ,yes,,,NSH
 Locality 1,681425.8048,5138565.212,46.37632112,-90.64090027, 15T,8,10,-1, Bedding,84.22853088,297.1217346,207.1217346,-2.02426147, Freda, Sat Aug  6 08:55:54 2016, ,yes,,,NSH
 Locality 1,681425.8048,5138565.212,46.37632112,-90.64090027, 15T,8,10,-1, Bedding,78.61795807,289.907135,199.907135,-2.02426147, Freda, Sat Aug  6 08:55:43 2016, ,yes,,,NSH
 Locality 1,681408.0674,5138562.679,46.37630309,-90.64113169, 15T,6,5,-1, Bedding,83.10622406,300.6037598,210.6037598,-2.02426147, Freda, Sat Aug  6 08:52:44 2016, ,yes,,,NSH
 Locality 1,681408.0674,5138562.679,46.37630309,-90.64113169, 15T,6,5,-1, Bedding,87.29666901,306.8144226,216.8144226,-2.02426147, Freda, Sat Aug  6 08:52:31 2016, ,yes,,,NSH
 Locality 1,681376.5315,5138555.549,46.37624744,-90.64154416, 15T,8,10,-1, Bedding,74.06929779,286.46875,196.46875,-2.02426147, Freda, Sat Aug  6 08:51:22 2016, ,yes,,,NSH
 Locality 1,681376.7908,5138555.291,46.37624505,-90.64154089, 15T,8,5,-1, Bedding,77.20175934,288.4989319,198.4989319,-2.02426147, Freda, Sat Aug  6 08:51:12 2016, ,yes,,,NSH
 Locality 1,681491.8114,5138483.903,46.37557228,-90.64007423, 15T,6,10,-1, Fault,70.09262848,213.2897797,123.2897797,-2.02426147, Copper Harbor Conglomerate , Sat Aug  6 08:46:09 2016, ,yes,,,NSH
 Locality 1,681492.9566,5138487.256,46.37560212,-90.64005805, 15T,8,10,-1, Fault,86.37472534,166.4997711,76.49977112,-2.02426147, Copper Harbor Conglomerate , Sat Aug  6 08:44:38 2016, Negligible offset,yes,,,NSH
 Locality 1,681603.4702,5138533.442,46.37598777,-90.63860438, 15T,4,5,-1, Bedding,88.37515259,311.5348511,221.5348511,-2.02426147, Copper Harbor Conglomerate , Sat Aug  6 08:36:40 2016, Sandstone,yes,,,NSH
 Locality 1,681602.1885,5138536.829,46.37601857,-90.63861972, 15T,6,5,-1, Bedding,85.40924072,292.9258118,202.9258118,-2.02426147, Copper Harbor Conglomerate , Sat Aug  6 08:36:15 2016, Sandstone,yes,,,NSH
 Locality 1,681631.7846,5138506.5,46.3757379,-90.63824697, 15T,8,10,-1, Bedding,89,321.8909607,231.8909607,-2.02426147, Copper Harbor Conglomerate , Sat Aug  6 08:21:44 2016, Siltstone ,yes,,,NSH
 Locality 1,681610.7686,5138519.775,46.37586292,-90.63851486, 15T,8,5,-1, Fault,48.12221527,232.5393829,142.5393829,-2.02426147, Copper Harbor Conglomerate , Sat Aug  6 07:47:23 2016, Negligible offset,yes,,,NSH
 Locality 1,681583.3349,5138515.922,46.37583564,-90.63887277, 15T,8,5,-1, Bedding,81.31437683,300.2770386,210.2770386,-2.02426147, Copper Harbor Conglomerate , Sat Aug  6 07:44:16 2016, Sandstone interbed within CHC,yes,,,NSH
 Locality 1,681637.1517,5138484.265,46.37553653,-90.63818587, 15T,6,10,-1, Fault,69.95176697,6.83581209,276.8358154,-2.02426147, Kallander Creek Volcanics, Sat Aug  6 07:39:54 2016, Negligible offset strike slip fault in rhyolite  ,yes,,,NSH
 Locality 1,681627.6873,5138490.093,46.37559147,-90.63830657, 15T,8,10,-1, Fault,40.1861763,97.42694855,7.42694855,-2.02426147, Copper Harbor Conglomerate , Sat Aug  6 07:36:10 2016, Small normal fault within conglomerate ,yes,,,NSH
 Locality 1,681633.1463,5138468.02,46.37539152,-90.63824421, 15T,8,10,-1, Flow banding,88.19485474,303.4871216,213.4871216,-2.02426147, Kallander Creek Volcanics, Sat Aug  6 07:31:06 2016, Flow banding near top of rhyolite ,yes,,,NSH
 Locality 1,681649.5474,5138489.604,46.3755812,-90.63802276, 15T,8,10,-1, Flow banding,76.37030792,311.4963074,221.4963074,-2.02426147, Kallander Creek Volcanics, Sat Aug  6 07:30:11 2016, Flow banding near top of rhyolite ,yes,,,NSH
 Locality 1,681652.6493,5138495.485,46.37563325,-90.63798018, 15T,12,30,-1, Flow banding,84.08937073,302.208252,212.208252,-2.02426147, Kallander Creek Volcanics, Sat Aug  6 07:30:01 2016, Flow banding near top of rhyolite,yes,,,NSH
 Locality 1,681672.8799,5139728.62,46.38671627,-90.6372388, 15T,6,5,-1, Clast lamination,78.14221191,311.8053589,221.8053589,-2.02426147, Freda, Thu Aug  4 15:08:30 2016, ,yes,,,NSH
